instruction,response
What is the origin of quantum theory related to?,"THE origin of quantum theory is connected with a well-known phenomenon, which did not belong to the central parts of atomic physics. Any piece of matter when it is heated starts to glow, gets red hot and white hot at higher temperatures."
How does the color of a heated object depend on its temperature?,"The color does not depend much on the surface of the material, and for a black body it depends solely on the temperature."
Why is the radiation emitted by a black body at high temperatures suitable for physical research?,"Therefore, the radiation emitted by such a black body at high temperatures is a suitable object for physical research; it is a simple phenomenon that should find a simple explanation in terms of the known laws for radiation and heat."
What was the result of Lord Rayleigh and Jeans' attempt to explain black body radiation?,"The attempt made at the end of the nineteenth century by Lord Rayleigh and Jeans failed, however, and revealed serious difficulties. It would not be possible to describe these difficulties here in simple terms. It must be sufficient to state that the application of the known laws did not lead to sensible results."
How did Planck approach the problem of radiation in 1895?,"When Planck, in 1895, entered this line of research he tried to turn the problem from radiation to the radiating atom. This turning did not remove any of the difficulties inherent in the problem, but it simplified the interpretation of the empirical facts."
What was the result of Curlbaum and Rubens' measurements of heat radiation in 1900?,"It was just at this time, during the summer of 1900, that Curlbaum and Rubens in Berlin had made very accurate new measurements of the spectrum of heat radiation."
What did Planck do when he heard about Curlbaum and Rubens' results?,When Planck heard of these results he tried to represent them by simple mathematical formulas which looked plausible from his research on the general connection between heat and radiation.
How did Planck and Rubens' comparison of their work lead to a discovery?,One day Planck and Rubens met for tea in Planck's home and compared Rubens' latest results with a new formula suggested by Planck. The comparison showed a complete agreement. This was the discovery of Planck's law of heat radiation.
What was the beginning of intense theoretical work for Planck?,It was at the same time the beginning of intense theoretical work for Planck. What was the correct physical interpretation of the new formula?
How did Planck initially interpret his formula?,"Since Planck could, from his earlier work, translate his formula easily into a statement about the radiating atom (the so-called oscillator), he must soon have found that his formula looked as if the oscillator could only contain discrete quanta of energy a result that was so different from anything known in classical physics that he certainly must have refused to believe it in the beginning."
What convinced Planck of his quantum hypothesis?,But in a period of most intensive work during the summer of 1900 he finally convinced himself that there was no way of escaping from this conclusion.
What did Planck's son recall about his father's new ideas?,"It was told by Planck's son that his father spoke to him about his new ideas on a long walk through the Grunewald, the wood in the suburbs of Berlin. On this walk he explained that he felt he had possibly made a discovery of the first rank, comparable perhaps only to the discoveries of Newton."
What did Planck realize about his formula during this time?,"So Planck must have realized at this time that his formula had touched the foundations of our description of nature, and that these foundations would one day start to move from their traditional present location toward a new and as yet unknown position of stability."
What was Planck's attitude towards his discovery?,"Planck, who was conservative in his whole outlook, did not like this consequence at all, but he published his quantum hypothesis in December of 1900."
Why was Planck's quantum hypothesis so revolutionary?,The idea that energy could be emitted or absorbed only in discrete energy quanta was so new that it could not be fitted into the traditional framework of physics. An attempt by Planck to reconcile his new hypothesis with the older laws of radiation failed in the essential points.
"Who made the next significant step in quantum theory, and how?","It took five years until the next step could be made in the new direction. This time it was the young Albert Einstein, a revolutionary genius among the physicists, who was not afraid to go further away from the old concepts."
What was the first problem Einstein addressed using quantum ideas?,"There were two problems in which he could make use of the new ideas. One was the so-called photoelectric effect, the emission of electrons from metals under the influence of light."
What did Einstein conclude about the photoelectric effect?,"The experiments, especially those of Lenard, had shown that the energy of the emitted electrons did not depend on the intensity of the light, but only on its color or, more precisely, on its frequency. This could not be understood on the basis of the traditional theory of radiation. Einstein could explain the observations by interpreting Planck's hypothesis as saying that light consists of quanta of energy traveling through space."
How did Einstein apply the quantum hypothesis to the photoelectric effect?,"The energy of one light quantum should, in agreement with Planck's assumptions, be equal to the frequency of the light multiplied by Planck's constant."
What was the second problem Einstein addressed using quantum theory?,The other problem was the specific heat of solid bodies. The traditional theory led to values for the specific heat which fitted the observations at higher temperatures but disagreed with them at low ones.
How did Einstein explain the specific heat of solid bodies?,Again Einstein was able to show that one could understand this behavior by applying the quantum hypothesis to the elastic vibrations of the atoms in the solid body.
What was the significance of Einstein's two results?,"These two results marked a very important advance, since they revealed the presence of Planck's quantum of action as his constant is called among the physicists in several phenomena, which had nothing immediately to do with heat radiation."
How did Einstein's work challenge traditional views of light?,"They revealed at the same time the deeply revolutionary character of the new hypothesis, since the first of them led to a description of light completely different from the traditional wave picture. Light could either be interpreted as consisting of electromagnetic waves, according to Maxwell's theory, or as consisting of light quanta, energy packets traveling through space with high velocity."
How did Einstein handle the contradiction between the wave and particle nature of light?,"But could it be both? Einstein knew, of course, that the well-known phenomena of diffraction and interference can be explained only on the basis of the wave picture. He was not able to dispute the complete contradiction between this wave picture and the idea of the light quanta; nor did he even attempt to remove the inconsistency of this interpretation. He simply took the contradiction as something which would probably be understood only much later."
What discovery did Rutherford make in 1911 about the atom?,"In the meantime the experiments of Becquerel, Curie and Rutherford had led to some clarification concerning the structure of the atom. In 1911 Rutherford's observations on the interaction of o-rays penetrating through matter resulted in his famous atomic model."
What was Rutherford's atomic model?,"The atom is pictured as consisting of a nucleus, which is positively charged and contains nearly the total mass of the atom, and electrons, which circle around the nucleus like the planets circle around the sun."
How did Rutherford's atomic model explain the chemical bond between atoms?,The chemical bond between atoms of different elements is explained as an interaction between the outer electrons of the neighboring atoms; it has not directly to do with the atomic nucleus.
Why was Rutherford's atomic model initially unable to explain atomic stability?,"Initially this model of the atom could not explain the most characteristic feature of the atom, its enormous stability. No planetary system following the laws of Newton's mechanics would ever go back to its original configuration after a collision with another such system."
How did Bohr explain the stability of the atom in 1913?,"The explanation for this unusual stability was given by Bohr in 1913, through the application of Planck's quantum hypothesis. If the atom can change its energy only by discrete energy quanta, this must mean that the atom can exist only in discrete stationary states, the lowest of which is the normal state of the atom."
How did Bohr's application of quantum theory explain atomic behavior?,"Therefore, after any kind of interaction the atom will finally always fall back into its normal state."
What did Bohr's theory explain about atomic spectra?,"By this application of quantum theory to the atomic model, Bohr could not only explain the stability of the atom but also, in some simple cases, give a theoretical interpretation of the line spectra emitted by the atoms after the excitation through electric discharge or heat."
What was Bohr's approach to combining classical mechanics and quantum theory?,"His theory rested upon a combination of classical mechanics for the motion of the electrons with quantum conditions, which were imposed upon the classical motions for defining the discrete stationary states of the system."
How did Bohr's theory handle contradictions in classical mechanics?,"Bohr was well aware of the fact that the quantum conditions spoil in some way the consistency of Newtonian mechanics. In the simple case of the hydrogen atom one could calculate from Bohr's theory the frequencies of the light emitted by the atom, and the agreement with the observations was perfect."
What did Bohr's theory reveal about the atomic line spectra?,"Yet these frequencies were different from the orbital frequencies and their harmonics of the electrons circling around the nucleus, and this fact showed at once that the theory was still full of contradictions. But it contained an essential part of the truth."
How did Bohr's theory contribute to understanding chemical behavior?,"It did explain qualitatively the chemical behavior of the atoms and their line spectra; the existence of the discrete stationary states was verified by the experiments of Franck and Hertz, Stern and Gerlach."
What did Bohr's theory inspire in future research?,Bohr's theory had opened up a new line of research. The great amount of experimental material collected by spectroscopy through several decades was now available for information about the strange quantum laws governing the motions of the electrons in the atom.
What did Bohr's theory inspire in future research?,Bohr's theory had opened up a new line of research. The great amount of experimental material collected by spectroscopy through several decades was now available for information about the strange quantum laws governing the motions of the electrons in the atom.
How did physicists begin to approach quantum theory after Bohr's work?,The many experiments of chemistry could be used for the same purpose. It was from this time on that the physicists learned to ask the right questions; and asking the right question is frequently more than halfway to the solution of the problem.
What kind of questions did physicists start asking in the early 1920s?,Practically all of them had to do with the strange apparent contradictions between the results of different experiments.
What challenges did physicists face in understanding atomic events?,"How could it be that the same radiation that produces interference patterns, and therefore must consist of waves, also produces the photoelectric effect, and therefore must consist of moving particles?"
How did physicists deal with contradictions in the quantum theory?,"Gradually, during the early twenties, the physicists became accustomed to these difficulties, they acquired a certain vague knowledge about where trouble would occur, and they learned to avoid contradictions."
What was the result of the physicists' adaptation to quantum theory?,"They knew which description of an atomic event would be the correct one for the special experiment under discussion. This was not sufficient to form a consistent general picture of what happens in a quantum process, but it changed the minds of the physicists in such a way that they somehow got into the spirit of quantum theory."
What were ideal experiments in the context of quantum theory?,"One frequently discussed what one called ideal experiments. Such experiments were designed to answer a very critical question irrespective of whether or not they could actually be carried out. Of course it was important that it should be possible in principle to carry out the experiment, but the technique might be extremely complicated."
